year,sub_sector_verbatim,planning_area,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,app_agg_convenience,app_agg_safety,app_agg_customer_service,app_agg_service_info,app_agg_comfort,app_agg_promo,app_agg_affordability
2018,TaxiorCarBookingApp,JURONG WEST,0.682464455,81.155066,85.322602,83.333441,67.19373,70.560499,9,7,8.67,7.33,7.5,0,9
2017,TaxiorCarBookingApp,JURONG WEST,1.464185393,70.795215,81.258821,77.777778,70.352541,60.89656,8.5,7,8,8.33,8,7,7
2017,TaxiorCarBookingApp,JURONG WEST,0.575842697,73.916883,77.777778,72.044516,62.980793,72.740463,6.5,7.5,8.67,8.33,8,0,8
2017,TaxiorCarBookingApp,JURONG WEST,1.095505618,76.770897,85.463591,83.51104,77.777778,73.32366,7.75,7,8.33,8.67,9,9,8
2016,TaxiorCarBookingApp,JURONG WEST,1.154264973,70.337164,73.674198,72.40648,73.35344,60.834546,4,7.5,0,7.33,8.5,10,7
2016,TaxiorCarBookingApp,JURONG WEST,1.154264973,81.448275,66.754469,72.40648,69.96565,68.201435,4.25,7.5,0,8.33,9,9,9
2016,TaxiorCarBookingApp,JURONG WEST,1.154264973,73.93129,70.214333,66.298151,73.35344,67.750623,3.5,7,0,7.67,7,9,7
2017,TaxiorCarBookingApp,MARINE PARADE,1.464185393,77.03855,77.165541,72.044516,70.352541,78.790077,7.5,6,7,7.33,7.5,8,8
2017,TaxiorCarBookingApp,NOVENA,1.095505618,84.760341,77.109796,83.51104,81.814378,78.790077,9.25,9.5,9.67,8.67,9,8,9
2019,TaxiorCarBookingApp,PASIR RIS,1,85.624658,70.275655,71.714933,70.346672,76.16935,7.75,7,8.33,8,7.5,8,10
2019,TaxiorCarBookingApp,PASIR RIS,0.516666667,58.819786,81.169859,66.666667,80.577489,75.223268,7.75,8,8,8,8,7,9
2017,TaxiorCarBookingApp,PASIR RIS,0.758426966,70.795215,59.648835,72.399929,66.31594,78.790077,7.75,8,6.33,8,6,6,7
2016,TaxiorCarBookingApp,PASIR RIS,0.936479129,77.85415,70.770247,66.666667,73.264633,74.196651,4.25,7.5,0,7.67,7.5,8,9
2016,TaxiorCarBookingApp,PASIR RIS,0.421052632,66.666667,74.230111,66.666667,73.264633,60.834546,3.25,9,0,7.33,9,0,7
2019,TaxiorCarBookingApp,PUNGGOL,0.516666667,62.605974,73.667737,66.666667,62.986661,71.84918,7.25,7,7.33,8.33,8,8,8
2016,TaxiorCarBookingApp,PUNGGOL,1.154264973,85.218391,73.586395,72.40648,74.389988,72.824978,4,8,0,7.33,8,7,10
2016,TaxiorCarBookingApp,PUNGGOL,0.936479129,78.03014,65.935148,72.40648,63.367683,78.800957,3.25,8,0,7,8,9,6
2018,TaxiorCarBookingApp,QUEENSTOWN,0.682464455,59.247152,84.933999,88.888889,89.223666,83.368628,8.25,9,8.33,8,9.5,8,9
2018,TaxiorCarBookingApp,QUEENSTOWN,1.317535545,62.799755,66.278064,61.111003,58.971979,71.311587,7,6,7,7,7,6,8
2017,TaxiorCarBookingApp,QUEENSTOWN,0.575842697,66.666667,88.888889,77.422365,74.739868,78.790077,8.5,8.5,8.67,8.67,7,0,7
2017,TaxiorCarBookingApp,SEMBAWANG,1.464185393,73.916883,77.221287,83.51104,74.091904,87.900772,7,7.5,7.67,8.67,8.5,8,9
2017,TaxiorCarBookingApp,SEMBAWANG,1.095505618,70.527562,74.296735,83.51104,80.815688,75.728997,7.5,6.5,7.33,6.67,7,7,7
2019,TaxiorCarBookingApp,SENGKANG,0.516666667,58.819786,77.777778,66.666667,80.577489,75.223268,7.75,7,8,8.33,7.5,7,8
2019,TaxiorCarBookingApp,SENGKANG,0.516666667,59.616249,59.164544,72.729511,62.106368,63.513062,7,8,6.33,7,6.5,7,8
2019,TaxiorCarBookingApp,SENGKANG,0.516666667,63.402436,66.883574,66.666667,66.262068,63.513062,7,7,6.33,7,7,6,7
2018,TaxiorCarBookingApp,SENGKANG,1.317535545,59.108159,67.067093,66.666667,81.001915,75.674153,7.25,8,7.67,9,7.5,5,6
2016,TaxiorCarBookingApp,SENGKANG,1.488203267,74.183652,74.230111,61.295369,66.755473,57.601914,3.5,8.5,0,8,7,6,7
2016,TaxiorCarBookingApp,SENGKANG,0.936479129,85.218391,66.666667,78.146293,77.777778,84.796173,3,7.5,0,7.67,6,0,8
2016,TaxiorCarBookingApp,SENGKANG,0.421052632,70.260792,77.953383,72.40648,63.367683,68.201435,3.5,7.5,0,7.33,9,0,7
2018,TaxiorCarBookingApp,SERANGOON,0.682464455,81.155066,77.789601,72.222114,62.915466,63.617112,7.5,8.5,8.33,7.67,8.5,6,8
2018,TaxiorCarBookingApp,SERANGOON,0.682464455,63.114064,77.789601,66.666667,70.417867,62.162924,8.25,7,7.33,8.33,8,6,7
2017,TaxiorCarBookingApp,SERANGOON,1.095505618,69.788334,77.777778,72.044516,63.27803,74.23473,8,9,8,7.67,6.5,8,7
2016,TaxiorCarBookingApp,SERANGOON,1.488203267,85.218391,84.141593,88.888889,77.777778,76.959235,3.5,9,0,8,8,9,7
2016,TaxiorCarBookingApp,SERANGOON,1.488203267,81.371903,63.206802,72.037964,63.367683,68.201435,3.5,7,0,9,8,9,7
2016,TaxiorCarBookingApp,SERANGOON,1.154264973,51.885058,25.857691,27.59352,26.735367,27.194259,1.75,4,0,5.67,4.5,5,5
2016,TaxiorCarBookingApp,SERANGOON,0.936479129,59.226053,63.206802,55.555556,58.854539,62.676268,3.5,7,0,7,6.5,7,8
2016,TaxiorCarBookingApp,SERANGOON,0.421052632,88.965261,81.96916,78.146293,74.478795,74.196651,4.5,9,0,8,8,0,6
2016,TaxiorCarBookingApp,SERANGOON,0.421052632,73.93129,70.214333,67.035182,63.367683,76.038373,3,7,0,9,7.5,0,7
2019,TaxiorCarBookingApp,TAMPINES,0.516666667,67.188624,70.275655,82.826044,71.226965,69.368165,7.75,7,8,8.67,8.5,8,8
2017,TaxiorCarBookingApp,TAMPINES,1.464185393,69.788334,67.278903,66.666667,62.980793,69.679383,7.75,9,7.67,7.67,7,8,8
2017,TaxiorCarBookingApp,TAMPINES,1.095505618,70.527562,59.036599,72.044516,70.055303,67.857244,9,8,8,7.67,8,8,10
2017,TaxiorCarBookingApp,TAMPINES,0.575842697,78.784658,63.185624,55.555556,70.352541,83.345424,7.25,7,7.33,7.67,7,2,8
2016,TaxiorCarBookingApp,TAMPINES,1.154264973,70.513155,77.86558,88.888889,80.987954,74.196651,3.25,8,0,7,9,6,6
2019,TaxiorCarBookingApp,TOA PAYOH,1,69.930897,59.164544,72.729511,58.830962,74.098572,7.5,6.5,4.67,6.33,7,6,7
2016,TaxiorCarBookingApp,TOA PAYOH,1.488203267,59.402044,70.214333,61.295369,62.153522,62.206219,4.5,8,0,8,7.5,9,6
2016,TaxiorCarBookingApp,TOA PAYOH,1.488203267,85.218391,70.302136,72.774995,74.389988,68.201435,4,7,0,6.33,7.5,7,6
2016,TaxiorCarBookingApp,TOA PAYOH,1.154264973,37.179821,30.517185,38.704631,30.03435,22.589953,2.5,2.5,0,3.33,2,4,2
2016,TaxiorCarBookingApp,TOA PAYOH,0.936479129,85.218391,70.302136,72.774995,74.478795,76.959235,4.25,6.5,0,9.33,7.5,0,8
2016,TaxiorCarBookingApp,TOA PAYOH,0.421052632,77.701406,63.762716,61.295369,66.57786,78.800957,4,7,0,6.33,6.5,8,8
2019,TaxiorCarBookingApp,WOODLANDS,1.483333333,77.255821,96.607919,83.840623,85.613483,78.828979,9,8.5,8.33,9.33,9.5,10,10
2018,TaxiorCarBookingApp,WOODLANDS,0.682464455,77.916771,74.58827,72.22233,74.361354,75.674153,8.25,7.5,8,7.33,7.5,8,9
