planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,taxi_agg_service_info,taxi_agg_customer_service,taxi_agg_convenience,taxi_agg_comfort,taxi_agg_safety,taxi_agg_affordability
BUKIT BATOK,taxi_agg_customer_service,1.0,0.73,-0.71,0.0,-0.73,0.35,0.36,0.79,1.0,0.75,0.19,0.75,0.25
BUKIT BATOK,taxi_agg_convenience,0.75,0.43,-0.11,0.21,-0.43,-0.05,0.49,0.82,0.75,1.0,-0.03,0.56,-0.19
BUKIT BATOK,taxi_agg_comfort,0.19,0.81,-0.58,-0.95,-0.16,0.95,-0.68,0.47,0.19,-0.03,1.0,-0.47,0.56
BUKIT BATOK,taxi_agg_safety,0.75,0.11,-0.32,0.63,-0.43,-0.26,0.81,0.35,0.75,0.56,-0.47,1.0,-0.19
BUKIT BATOK,taxi_agg_affordability,0.25,0.54,-0.71,-0.71,-0.73,0.71,-0.73,0.0,0.25,-0.19,0.56,-0.19,1.0
BUKIT MERAH,year,1.0,0.5,-0.5,-0.5,1.0,0.5,1.0,0.0,1.0,0.5,-0.87,0.87,0.0
BUKIT MERAH,weight_of_market_share,0.5,1.0,-1.0,0.5,0.5,1.0,0.5,-0.87,0.5,1.0,-0.87,0.87,0.87
BUKIT MERAH,customer_loyalty‎_user_trust_score,1.0,0.5,-0.5,-0.5,1.0,0.5,1.0,0.0,1.0,0.5,-0.87,0.87,0.0
BUKIT MERAH,taxi_agg_service_info,0.0,-0.87,0.87,-0.87,0.0,-0.87,0.0,1.0,0.0,-0.87,0.5,-0.5,-1.0
BUKIT MERAH,taxi_agg_customer_service,1.0,0.5,-0.5,-0.5,1.0,0.5,1.0,0.0,1.0,0.5,-0.87,0.87,0.0
BUKIT MERAH,taxi_agg_convenience,0.5,1.0,-1.0,0.5,0.5,1.0,0.5,-0.87,0.5,1.0,-0.87,0.87,0.87
BUKIT MERAH,taxi_agg_comfort,-0.87,-0.87,0.87,0.0,-0.87,-0.87,-0.87,0.5,-0.87,-0.87,1.0,-1.0,-0.5
BUKIT MERAH,taxi_agg_safety,0.87,0.87,-0.87,0.0,0.87,0.87,0.87,-0.5,0.87,0.87,-1.0,1.0,0.5
BUKIT MERAH,taxi_agg_affordability,0.0,0.87,-0.87,0.87,0.0,0.87,0.0,-1.0,0.0,0.87,-0.5,0.5,1.0
BUKIT PANJANG,year,1.0,0.53,-0.95,0.32,0.11,0.0,-0.32,0.08,0.82,0.87,-0.58,0.56,0.03
BUKIT PANJANG,weight_of_market_share,0.53,1.0,-0.4,0.9,0.7,0.5,-0.1,-0.32,0.67,0.67,0.0,0.95,0.37
BUKIT PANJANG,customer_loyalty‎_user_trust_score,-0.32,-0.1,0.3,-0.2,-0.5,0.6,1.0,0.79,-0.22,-0.36,0.47,-0.11,0.79
BUKIT PANJANG,taxi_agg_service_info,0.08,-0.32,-0.16,-0.47,-0.79,0.32,0.79,1.0,0.0,-0.16,0.0,-0.25,0.58
