planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score
JURONG EAST,train_agg_safety,-0.54,-0.77,0.26,0.77,0.26,0.26,0.26
JURONG WEST,year,1.0,-0.27,0.18,0.08,0.26,-0.34,0.04
JURONG WEST,weight_of_market_share,-0.27,1.0,-0.3,0.29,-0.17,0.38,0.09
JURONG WEST,customer_loyalty‎_user_trust_score,0.04,0.09,0.32,0.16,0.14,0.6,1.0
JURONG WEST,train_agg_service_info,0.64,0.11,0.27,0.39,0.54,0.33,0.34
JURONG WEST,train_agg_customer_service,0.68,0.12,0.38,0.56,0.58,0.25,0.1
JURONG WEST,train_agg_convenience,0.59,-0.01,0.39,0.35,0.59,0.43,0.47
JURONG WEST,train_agg_comfort,0.91,-0.26,0.32,0.22,0.35,-0.13,0.01
JURONG WEST,train_agg_safety,0.26,0.21,0.77,0.95,0.69,0.5,0.19
PASIR RIS,year,1.0,0.28,0.34,0.43,0.25,0.25,0.68
PASIR RIS,weight_of_market_share,0.28,1.0,0.87,0.14,0.55,0.29,0.46
PASIR RIS,customer_loyalty‎_user_trust_score,0.68,0.46,0.49,0.09,0.43,0.31,1.0
PASIR RIS,train_agg_service_info,0.94,0.46,0.52,0.64,0.41,0.41,0.67
PASIR RIS,train_agg_customer_service,0.85,0.51,0.7,0.75,0.64,0.64,0.55
PASIR RIS,train_agg_convenience,0.85,0.51,0.7,0.75,0.64,0.64,0.55
PASIR RIS,train_agg_comfort,0.85,0.51,0.7,0.75,0.64,0.64,0.55
PASIR RIS,train_agg_safety,0.49,0.31,0.5,0.97,0.5,0.62,0.12
PUNGGOL,year,1.0,-0.37,0.07,-0.07,-0.05,-0.06,-0.26
PUNGGOL,weight_of_market_share,-0.37,1.0,-0.17,-0.39,-0.23,-0.27,-0.21
PUNGGOL,customer_loyalty‎_user_trust_score,-0.26,-0.21,0.35,0.65,0.66,0.83,1.0
PUNGGOL,train_agg_service_info,0.36,-0.46,0.39,0.45,0.41,0.59,0.44
PUNGGOL,train_agg_customer_service,-0.01,-0.43,0.3,0.63,0.47,0.72,0.69
PUNGGOL,train_agg_convenience,0.11,-0.26,0.01,0.6,0.35,0.62,0.4
PUNGGOL,train_agg_comfort,0.26,-0.5,0.28,0.57,0.49,0.63,0.56
PUNGGOL,train_agg_safety,0.17,-0.36,0.33,0.69,0.72,0.73,0.6
QUEENSTOWN,weight_of_market_share,,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
QUEENSTOWN,customer_loyalty‎_user_trust_score,,-1.0,1.0,1.0,1.0,1.0,1.0
QUEENSTOWN,train_agg_service_info,,-1.0,1.0,1.0,1.0,1.0,1.0
