,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
most_preferred_mot,0.010969385821387156,0.05022666385117966,0.9667123928095079,-0.015021245188193338,0.004474106653173777,0.02204048737243188,0.036166381321289916,0.051922914106779,-0.032795201176059545,0.036257333900481414,-0.00716686827293795,-0.034145987336025564,0.0338488052016654,-0.009953766226974763,-0.033829749428068566,0.023184653711255252,-0.011761755110661664,-0.03186868931928525,-0.004314322710257248,-0.014660450541774388
least_preferred_mot,0.29612289409315556,0.03708390857210879,0.0028551694232649867,0.03082990716139917,0.10901895901347315,-0.09620848825865834,-0.01890884813816866,0.10299852617964934,-0.007461203320554701,-0.08978354457856393,0.02282107790290401,-0.017447741754285984,-0.03465247154128149,-0.024662751938792617,0.07205125518969802,-0.08380811652087815,-0.02633907220897432,0.03552187736922413,-0.06750921793322087,-0.06886575198228945
affordable_bus,0.06750534073273423,0.7274044465223898,-0.058300730538809735,0.06302558660062321,-0.043237279152686096,0.09377871356599879,0.023967921978414797,0.05631854522032393,-0.10255126910058016,-0.13375745274076467,0.15625077440800075,-0.02861219997876053,-0.0530110724807101,0.07464013302514552,0.08350608494906855,0.021400406642060228,0.08340737520191195,-0.2622008578846404,-0.03601965911072557,-0.04901101567635764
accesible_bus,-0.007646703369087702,0.5960114609689834,-0.040433314409699585,-0.024801017231933974,-0.017453253268372736,0.12263363986954931,-0.09685120799801995,0.09759363771250489,-0.001327635169160769,0.1458839784335219,-0.006958700161893389,0.03033058367382259,0.04339785215207208,0.12475703462673997,-0.06956605606715814,-0.044624075263648026,-0.05397393133994775,0.051107888118170346,0.00627186515384153,-0.04888917899951649
safe_bus,-0.022303166882361346,0.5068330593341763,9.610386888587429e-06,-0.02603261283074482,-0.028652744709592413,0.518809615498511,-0.05754310904844407,0.010468029785949998,0.045254432869844465,0.09350333748786961,-0.05529257911646148,0.00497583149962756,-0.010409890017897296,-0.034999322100411887,-0.06641080887002564,-0.09950393824518955,-0.12485868979743941,-0.10383658174680793,0.05405091730218975,-0.148546788891976
prevent_bus,-0.005420787539209343,-0.05877354146911662,-0.054994757692812216,-0.031551791474615884,0.12025022390658525,0.18928161304852306,0.06841177587936596,0.0587871648320782,-0.03112297751860031,0.07093017115142279,0.060155707484729336,-0.3135507955825906,-0.03899526067085473,0.020593825492769502,0.007289797712867176,0.1556790892197905,-0.11648871938285398,0.3403475651473944,-0.0752016693415646,0.1830458588889591
affordable_mrt,0.029062146435396497,0.7119891156475057,0.051399365758009026,0.03015704094033252,-0.038896062357294446,0.042951567266670224,0.03193530151793618,-0.06840031222287406,-0.08217583690490747,-0.013175980346396247,0.12584665558316943,0.08221117178483499,-0.0035401508286387233,0.042381032443611855,-0.043178741121484766,0.13913029309813074,0.07394161493868155,-0.03795336974108676,0.028641015892360715,0.036855823988804375
accessible_mrt,-0.03973623840686391,0.5484185137164094,0.1530510444588985,-0.03397422267943746,-0.04808664990374279,0.05734883349634081,-0.04299431313742631,-0.05822744279138185,-0.07226492686766849,0.09090884277167478,0.022221016720097013,0.2410742893485014,0.07635564931151918,-0.019915950531066512,-0.04807812290673056,0.040248265877405175,-0.24099643588943212,0.057863790552003073,0.002306048330525888,0.05154054189255927
waiting_mrt,-0.03105885095819933,0.6305318635451072,-0.02045922325018,-0.06035344643741174,0.11755149994401305,0.028089809138886344,0.016308690230207368,-0.10681629927469814,-0.05699663910228056,0.008501305565320605,-0.057032487678037216,-0.017457587663041327,0.006179379835214257,0.04939705003282878,-0.09908775780683719,-0.09585841565282929,0.0366382995553609,0.05684179565661038,-0.030763191221633086,0.046442614996704136
safe_mrt,-0.015700952955996838,0.5373288581905276,0.08899919318368336,-0.04493537325217642,0.052781114505139,0.4979035532162433,0.005402264686745422,-0.04608155013004439,-0.01049097453271102,-0.012065418863086411,-0.11135736761621684,0.06790792773110572,0.05668899046985623,0.024864512206899808,-0.04039708669735596,-0.05002743202048155,0.044547651401213154,0.03486104802806384,0.05646267250902137,0.020927943715282254
prevent_mrt,-0.026902160220710142,-0.11196169213782348,-0.04071393490664066,-0.014751908276766446,-0.0524797997045532,-0.04217857670635718,-0.02238532952373742,-0.09145248676618087,-0.05295723043057502,0.05877007655490837,0.019659974024310946,-0.03531854667699777,0.06384244580819379,-0.04496283485361507,-0.07101665481004439,0.028059989883889816,-0.07876019124668189,0.4061539421326666,0.06153745494582212,-0.03455976308386937
reason_taxi_more_accessible,0.055018929646871,0.02432340966527798,0.004270067037501154,0.10051569545811641,0.06698722583382939,0.06109391258988675,0.04330437301664234,0.1405897674983754,0.03301290447392263,0.052020247728033917,0.04999462142841031,0.12205301428852329,0.5717760450841004,-0.04638043990579034,0.003913357164525811,0.14737364036936598,-0.005209536969651154,-0.0022158670962533246,-0.0023782410215218816,-0.031160979697403116
