,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
frequency_bus,-0.004830596444053155,0.017895256153197075,0.43971056789361557,-0.05507491821484317,0.0822760364489307,0.4670195142538454,-0.13832079059774938,0.009144564656363008,0.011134166204132892,-0.059578711876578296,0.011025041299290095,-0.33134252890764165,0.028742059595411814,-0.10076448455392213,-0.010252430279626327
waiting_time_bus,0.06408027732947497,0.06220408756304455,0.08827967457540627,0.0025781438308113,-0.060070487905163394,0.1150226116348572,-0.13649008925731362,0.04483991187742307,0.08858542615569051,0.060813579760274586,-0.045859271364865235,0.254973716483938,-0.012921871309413436,-0.0030591285831286764,-0.0017738929553604923
chartered_bus,0.0368524887821465,-0.04258884227648506,0.010590948095851375,-0.02870521366937311,-0.028196811257698063,0.11780481976032263,0.08070739094731208,0.0347555069449928,0.06123049338248536,-0.0001188763746058441,0.05921471756274316,0.001836796756781831,0.006825202341616949,0.005233558287837498,0.49675055809395346
reason_bus_travel_to_mrt_stations,0.009330109314051769,0.025004971213645213,-0.0031506169939294316,0.012609470482199351,-0.007637995920632841,-0.04744507983544199,0.08374867237699023,0.03767450373640671,0.01908554381425921,-0.022856062586482907,0.002894653392522594,0.4503879394806918,0.06711493064016208,-0.005038262808795529,-0.011507608900011256
reason_bus_recreation_destination,-0.013212592517965265,-0.01028822712582918,0.03922514186248795,-0.08692180838951016,-0.004860763279773621,-0.16314506326549752,0.05435796439979051,-0.12914302318246604,-0.051596527529782436,-0.0606554543405041,-0.03056450270838867,-0.004246701577012763,-0.09046203155758667,-0.12614751428021026,0.05197313646310344
reason_bus_for_work_school,0.025626449642529348,0.0569260669800214,0.014954514227273653,0.10730559224331697,0.1460190287093097,-0.5878617365596454,0.012505855591994273,-0.009669720645149345,0.01023479834024165,0.09393200198863041,0.06750570683067482,-0.14244879412495165,0.14353614496261477,0.0347127962253114,-0.09008607046129354
frequency_mrt,0.04842190401497211,-0.04312776231085737,0.5577202878236601,-0.1582683080014121,-0.08815385845552177,-0.07813928353033957,-0.24494772162158443,0.004224595987211558,-0.08541945434665188,0.013211767369519622,-0.017819074332116283,-0.11794287711503545,-0.021804182906975052,0.0283072513580344,-0.005705708494538924
spend_mrt,0.0459541933164099,0.040889156471160724,0.14534385330047975,0.12744930792166098,0.07396779076003925,0.10476391004485029,0.3094284756654288,0.25955258310182594,0.04289296338423614,0.11458623417273243,-0.12873947853495266,-0.021855365485939495,0.00991072831810379,0.1069368833191998,-0.18318093670491709
mrt_lines,0.015948463711049514,0.017090187204292572,-0.05790983414438431,-0.1406255424079215,-0.05282533317295831,0.006689852192387479,-0.1246317578658446,0.44718061598199516,-0.04586373218648569,0.0364674892312643,0.0689013970680335,-0.04627753442295347,-0.03716363907354153,0.16246292496385092,0.06472463298212644
mrt_lines_cnt,0.037854265343629616,0.1518229412364114,0.00808573900197542,0.8037967643063424,-0.029945699194638496,0.006050618962680681,0.12315131564547654,-0.06567219036890097,0.07676117133262224,-0.05722848902003302,-0.06288584931579116,0.027060798820496973,0.0852990499893293,0.03572116872783228,0.0075848191866220195
reason_mrt_for_work_school,0.0031251662349619084,0.09536974184696924,-0.10777061323313095,0.1714362350007616,0.03443920162274188,0.21751802566614067,0.12208146798343793,0.16393304666946668,0.1485663174630152,0.14469167110886683,0.010814771291144387,0.07460180955508565,0.039033455062730316,-0.043082959363013706,-0.12249056447794138
